ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
1408,Eastman/North Branch,Essanay Studio Lighting,1346 N North Branch St,Essanay Studio & Lighting Co.,275,"Located in the Near North Side community, the project includes construction of a sound stage production facility.  The project consists of demolishing part of an existing building, rehabilitating the remaining 10,000 square foot structure, and construction of two additions totally 26,000 square feet.  There are two sound stages, offices, warehouses, and conference areas within the building.",5/9/95,394000,2922000,1168433.481,1909011.171,41.90585864,-87.65671979,"(41.905858635728926, -87.65671979400794)",49,37,22620,108,46,16
1452,Read/Dunning,Alter Group,6800 W Irving Park Rd,"The Alter Group, Ltd",383,Develop property for light industrial use.,1/21/92,300000,300000,1130321.152,1925866.847,41.95285225,-87.79633414,"(41.95285224503831, -87.79633414419206)",52,17,22254,442,19,25
11593,63rd/Ashland,IGA-CBE-Earle,2040 W 62nd St,Chicago Public Schools,,"Intergovernmental 	Agreement with the Board of Education of the City of Chicago in order to provide 	Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education 	for the costs associated with the planning, design, and construction of a new play lot 	for children 2 to 12 years old at Charles W. Earle Elementary School (Earle).",9/24/15,287000,287000,1163653.744,1863565.274,41.78125258,-87.67555599,"(41.78125258360491, -87.67555599128305)",23,65,22257,274,2,44
11044,63rd/Ashland,IGA - CBE - Lindblom Academy additional,6100 S Winchester Av,Chicago Public Schools,,"Lindblom Academy Parking Lot, Additional Funding",8/5/14,1600000,2100000,1164364.228,1864173.166,41.78290578,-87.67293408,"(41.78290577596, -87.6729340773917)",23,65,22257,275,2,44
10447,Galewood/Armitage Industrial,IGA - CPD - Amundsen Park,6200 W Bloomingdale Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and Chicago Park District.,6/3/14,2850000,2850000,1134782.765,1911356.237,41.91295562,-87.78027681,"(41.91295561718631, -87.78027681122344)",2,26,22615,597,7,52
11879,Bronzeville,Quad Communities  Arts and Recreation Center,435 E 35th St,Community Builders Inc.,,"The proposed project is a 30,000 square foot athletic, recreational, arts, educational and
community facility next to the Oakwood Shores CHA transformation project. The Chicago Park
District will operate and lease the facility. After 7 years, the building will be transferred to the
Chicago Park District permanently. 
The Chicago Park District and Chicago Public Schools will transfer land to the City, who will then
lease it to The Community Builders under a 19-25 year lease, and finally the Chicago Park
District will sublease the land from The Community Builders.",9/9/14,4300000,17567328,1179871.25,1881847.581,41.83106499,-87.61553962,"(41.83106498840861, -87.61553962138639)",36,1,4301,561,10,1
10436,Central West,IGA-CBE-Crane,2245 W Jackson Bv,Chicago Public Schools,,"This project includes the planning, design, and construction of a new artificial turf field to
replace an existing natural turf field, sports field lighting, and a latex coated HMA running
track. The project includes all necessary sub-surface infrastructure for drainage and
electrical systems as well as accessibility improvements.",2/4/14,2250000,2340050,1161290.138,1898611.918,41.87747384,-87.68324922,"(41.877473837668695, -87.68324922237663)",28,29,21184,89,46,48
1420,Near South <Central Station,Lakefront SRO - Wabash,1521 S Wabash Av,South Loop L.P. and Lakefront Single Room Occupancy Corp.,288,"The project includes the construction of 207 unit residential building for low and middle income tenants.  The project will also consist of parking facilities, job training center, and landscaping on adjacent site.",12/12/95,580500,16833900,1177054.325,1892851.446,41.86132451,-87.62554226,"(41.86132451284019, -87.62554225942642)",35,34,14913,374,9,48
1790,Pershing/King,P G Stewart - Tower 5 - Rehab,460 E 41st St,Paul G. Stewart Apartments Associates Phase V L.P.,2243,The P. G. Stewart Tower 5 project is located in the Pershing/King TIF District. The project consists of the rehabilitation of an 11-story building containing 97 affordable one-bedroom units.,6/10/11,2500000,18320288,1180219.199,1877957.214,41.82038154,-87.61438244,"(41.820381543450885, -87.61438243538622)",36,4,4301,625,9,12
11068,Canal/Congress,IGA - CTA - Bus Rapid Transit - Loop - Canal Congress,620 W Madison St,Chicago Transit Authority,,An intergovernmental agreement between the City of Chicago and Chicago Transit Authority.  -IGA pending,12/1/14,24802500,37912500,1172070.522,1900322.247,41.88193621,-87.64361632,"(41.88193620918798, -87.64361631603194)",45,29,4452,784,36,22
1611,Wilson Yard,Mercy Housing - Eastwood Sheridan,4946 N Sheridan Rd,Mercy Housing Lakefront; HWA 850 Eastwood LP,923,"Located in the Uptown community, the project will rehabilitate 300 residential units in two buildings. 280 affordable units will have a 60% area median income. 273 of the units are tax credit eligible.",1/12/10,3000000,61259738,1168689.933,1933461.587,41.97294612,-87.65506713,"(41.972946122053244, -87.65506712466981)",15,31,22616,634,16,37
1429,Sanitary and Ship Canal,Hawthorne Campbell Industrial Park,2600 W 35th St,Hawthorne-Campbell Holdings L.P.,299,A redevelopment agreement between the City of Chicago and Hawthorne Campbell Industrial Park.,1/12/93,1271000,1271000,1159564.489,1881406.504,41.83029607,-87.69005861,"(41.83029606803829, -87.69005861348269)",43,55,22248,638,1,29
12090,Division/Homan,IGA - CPD - Humbolt Park Batting Cages,1400 N Sacramento Av,Chicago Park District,,"$325,000 from the Division Homan TIF will be provided to the Chicago Park District to construct new automated batting cages at Humbolt Park.  The batting cages will be made available to the public and free of charge.  

The total cost to construct the batting cages is $656,350.  The remainder of the funds will be provided through the Park District capital program.",3/29/17,325000,656350,1156179.134,1893260.912,41.86289482,-87.70215997,"(41.86289481854531, -87.70215996841996)",57,30,21569,132,14,36
1400,Division/North Branch,River North Distributing,1300 N North Branch St,River North Distributing,263,"The project includes demolishing the existing building and construction of a new building which includes 13,000 square feet of office space, 31,000 square foot refrigerated cooler, 17,000 square foot truck drive through, 5,000 square foot receiving docks, 6,000 square foot ambient area, and parking.  The project also consists of construction of a seawall along Chicago River, environmental clean-up, landscaping, and site work.",2/19/91,2615000,10515900,1168488.125,1908561.596,41.90462379,-87.6565321,"(41.90462379227976, -87.65653209626667)",49,37,22620,108,46,16
10730,Near South <Central Station,IGA - CTA - Red Line Harrison Station Rehabilitation,608 S State St,Chicago Transit Authority,,An intergovernmental agreement between the City of Chicago and the Chicago Transit Authority to provide Tax Increment Financing (TIF) assistance for rehabilitation of Harrison Street rapid transit station on the Red Line.,11/15/12,10000000,10000000,1176412.732,1897603.216,41.87437816,-87.62775403,"(41.8743781602792, -87.62775402746496)",35,38,14913,12,10,48
11038,River West,IGA - CTA - Blue Line Modernization River West,800 W Grand Av,Chicago Transit Authority,,An intergovernmental agreement between the City of Chicago and Chicago Transit Authority. -IGA pending,3/10/14,6500000,63000000,1170936.505,1903723.248,41.89129371,-87.64768059,"(41.891293712960874, -87.6476805930264)",49,25,22620,522,46,41
10620,Midwest,East Park SRO,3300 W Maypole Av,The Habitat Company,,"East Park SRO, located in the East Garfield Park Community area. includes the rehabilitation of a completely affordable 152-Unit SRO apartment building plus 1 Residential Managers Unit. The property serves low and very low income  tenants whose income is at 60% of AMI and below.",6/14/16,5212175,16666443,1154287.339,1900828.13,41.88369802,-87.7089025,"(41.88369802211018, -87.70890250016994)",30,28,21572,176,23,11
1377,43rd/Damen,Farley Candy,2100 W 43rd St,Farley Candy Co. and Farley L.L.C.,224,"Located in the New City community area, the project includes the purchase of five buildings totaling 535,000 square feet for warehouse/distribution use.",6/14/94,3000000,11000000,1163025.587,1876176.764,41.81587325,-87.6775062,"(41.815873251119406, -87.67750619833888)",37,59,14924,706,1,29
11452,Lincoln Avenue,IGA - CPD - Park 526 (Devon/McCormick),6073 N Lincoln Av,Chicago Park District,,"The Chicago Park District is receiving $600,051 from Lincoln Avenue TIF to construct a new park at Devon and McCormick Blvd, on MWRD property which would be leased to the Park District. The Park District is proposing to improve the property with walking paths, landscaping to Park District standards, and incorporate fitness stations.  The park connects to the Park District Chicago River trail to the south, and the Lincolnwood sculpture park trail to the north.",6/22/16,600051,600051,1153635.983,1940396.588,41.99228985,-87.71023826,"(41.99228984730159, -87.71023825801709)",50,13,4450,747,27,42
1627,Central West,IGA - CPD - Park 0542 - Sangamon Adams II,115 S Sangamon St,Chicago Park District,958,Agreement between City of Chicago and the Chicago Park Distrct,3/18/09,6220000,7030000,1170157.8,1899582.215,41.87994748,-87.65066137,"(41.87994747663601, -87.65066136833414)",44,29,14917,91,26,48
1236,Kinzie Industrial Corridor,Green Works,551 N Sacramento Av,Chicago Greenworks LLC,10,"The project consists of demolition, site preparation, environmental remediation, road construction dedicated to the City.   The project also includes a 10,000 square foot repair and work shop, 7,000 square foot office, and a detention pond.",10/12/04,6148331,11260251,1156185.405,1903826.661,41.89188817,-87.70185158,"(41.891888167145225, -87.7018515801276)",28,24,21184,177,46,41
11592,Ewing Avenue,IGA-CBE-Gallistel ES,10347 S Ewing Av,Chicago Public Schools,,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with capital improvements at the existing Matthew Gallistel Elementary Language Academy (¿Gallistel¿). The project includes exterior tuck pointing, full roof replacement, air conditioning units and installation as well interior repairs and improvements including replacement of damaged flooring, replacing non-functional classroom doors, and water damaged wall and ceiling repairs.",9/24/15,2700000,2700000,1202203.353,1836767.747,41.70682232,-87.53513861,"(41.70682231634241, -87.53513860508505)",25,49,21202,715,47,47
12419,Cicero/Archer,IGA - CBE - ADA - Hearst III,4640 S Lamon Av,Chicago Public Schools,,Intergovernmental Agreement between the City of Chicago and Chicago Board of Education,9/1/17,1681233,3900733,1144438.111,1873241.766,41.80818821,-87.74576315,"(41.808188211240235, -87.7457631523081)",7,53,22268,604,28,35
1419,Near South <Central Station,FC Central Station,1455 S Michigan Av,FOREST CITY CENTRAL STATION IN,287,"The project consists of construction of a mixed-use retail and residential project including a 91-unit, 87,000 square foot senior housing building and a 411-unit, 515,000 square foot multi-family tower.  The project also includes ground-floor retail in both buildings and a 172,000 square foot parking garage.",6/16/04,14000000,122048000,1177499.228,1893311.778,41.86257762,-87.62389516,"(41.862577616329474, -87.62389516152777)",35,34,14913,374,9,48
12415,Clark/Ridge,IGA - CBE - ADA - Hayt III,1518 W Granville Av,Chicago Public Schools,,Intergovernmental Agreement between the city of Chicago and Chicago Board of Education,9/1/17,1000000,2409853,1164969.802,1941312.085,41.99456814,-87.6685227,"(41.994568139516936, -87.66852270401607)",14,76,4451,536,16,46
500098,Western/Ogden,Casa Queretaro,1614 S Damen Av,Casa Queretaro LP,,"The project is a new construction, four-story single building containing 45 residential affordable rental units.  The surrounding land uses are typical of urban infill, low-rise residential (2 to 4 stories), medium density.  The site benefits from close proximity to public transportation and all vital amenities.  The project will include a community garden, onsite parking for 32 cars, and a landscaped courtyard.  The 45 units are distributed among the 4 floors, with a laundry room located on the 2nd floor, 1 elevator, and 3 stair cases provided for circulation.  The project will serve working families with affordable rents from (30%, 50%, and 60% AMI).  15 units will be set aside for the CHA. 

This is a bond transaction, which includes 4% ""automatic"" LIHTC of $5.4 million.  The city will issue $8,500,000 in tax exempt bonds, which will bridge the TIF and Equity funding.",7/8/14,4372080,15459182,1163267.343,1891890.894,41.85898941,-87.67617838,"(41.85898941425604, -87.67617837902147)",43,33,14920,366,26,8
1414,Homan/Grand Trunk,Stellar Distribution,5000 S Homan Av,"Stellar Distribution Serv, Inc",281,"Located in Gage Park community area, the project includes construction of a 75,000 square foot warehouse and distribution facility.",11/10/93,540000,3246100,1154513.842,1871236.195,41.80248968,-87.70886086,"(41.802489676449476, -87.70886086101214)",56,61,22248,776,8,49
13131,Lake Calumet Area Industrial,Big Marsh Environmental Center,11555 S Stony Island Av,Chicago Park District,,"The project includes the construction of a new Chicago Park District environmental center.   The 8,000 square foot facility will include multi-purpose rooms, community rooms, bike repair, concessions, offices, and restrooms.",2/13/18,1400000,5000000,1191033.09,1828651.725,41.68482787,-87.57630433,"(41.68482787037205, -87.57630433276076)",25,48,22250,174,47,47
1757,Northwest Industrial Corridor,IGA - CPD - Park 1021 - Augusta,4433 W Augusta Bv,Chicago Park District,2110,An intergovernmental agreement between the City of Chicago and Chicago Park District. -IGA pending,1/24/12,145000,400000,1146492.736,1906249.489,41.8987269,-87.73738695,"(41.89872690382653, -87.73738694842851)",5,24,4299,99,45,4
1238,126th/Torrence,Ford Supplier Park - CMC,12600 S Torrence Av,"Chicago Manufacturing Campus, LLC",12,"Located in South Deering community, the project includes construction of an industrial park primarily for tenants providing services to Ford.  The project consists of infrastructure and landscape improvements, creating at least 1000 new jobs, and additional off-site infrastructure improvements.",10/9/01,17183334,88228423,1195820.258,1821874.267,41.66611299,-87.55900308,"(41.66611299121115, -87.55900308026102)",26,52,22250,586,47,47
1336,Northwest Industrial Corridor,Merlin Coke,1401 N Cicero Av,"MLRP-Merlin, LLC, with limited joinder by Coca-Cola Enterprises Inc.",159,"Located in the Austin community, the project includes the complete rehabilitation of 209,000 square feet space as a distribution and office facility for Coca-Cola.",2/14/06,3225000,7045345,1144159.235,1908913.155,41.90608046,-87.74589088,"(41.90608046015144, -87.74589087855617)",5,26,4299,62,45,4
12420,Stony Island Commercial/Burnside Industrial,School - Based Health Clinic - Chicago Vocational Academy,2100 E 87th St,Chicago Public Schools,,"Construction of a 2,665 square foot school-based health clinic in the Chicago Vocational Career Academy.  The center will be run by Chicago Family Health Centers, who will lease space from CPS.  The facility will be open to students and community members as well.  The Department of Public Health is providing funds for the build out from E-cigarette taxes.  Chicago Family Health Center has been providing services to the Burnside community for many years.",5/8/18,500000,1118000,1191700.593,1847743.551,41.73720173,-87.57324389,"(41.73720172642246, -87.57324388576335)",25,41,21202,431,35,9
1502,Chicago/Central Park,Rosa Parks Apts,3215 W Huron St,Rosa Parks L.P and Bickerdike Redevelopment Corp,619,"New construction of 94 affordable rental units on eight scattered sites in the Humboldt Park neighborhood.  There will be a mix of two-flats, three-flats, six-flats and a four-story building within a four block radius. The project will provide one to four bedroom units of which 100 percent will be affordable for households earning no more than 60% of the area median income.  Of the units, fifty-five will be accessible.  There will also be 1:1 parking in the rear of the buildings where the areas will be paved, well-lit and appropriately landscaped.  There is an eighteen month construction period for this project.",5/13/08,3506624,27147184,1154724.086,1904442.811,41.89360833,-87.70720187,"(41.89360832762634, -87.70720186660702)",30,24,21572,177,46,41
1401,Irving/Cicero,Six Corners S.C.,4000 N Cicero Av,"Six Corners Development, L.L.C.",264,"Located in Portage Park, the project includes demolishing existing structures and construction of a new 117,000 square foot retail space which includes a grocery store and 800 parking spaces.",5/14/96,3700000,19274000,1143616.409,1926179.626,41.95347154,-87.7474515,"(41.95347153824119, -87.74745149775624)",21,15,22618,259,50,20
1434,Stockyards SEQ,OSI Industries,4545 S Racine Av,"OSI Industries, Inc.",305,"Located in the New City community area, the project includes rehabilitation of 104,000 square feet of meat processing production facility.  The project also consists of construction of a new 20,000 square foot addition.",11/14/95,2068000,14687000,1169157.668,1874480.644,41.81108829,-87.65506164,"(41.8110882897476, -87.65506164142094)",37,59,14924,123,48,26
1427,Read/Dunning,Eli's Cheesecake,6701 W Forest Preserve Av,"Eli's Chicago's Finest, Inc.",297,"Located in the Dunning community area, the project consists of construction of 55,000 square foot warehouse/distribution building and other related improvements.",6/14/94,1300000,8537000,1130914.982,1928457.187,41.95995019,-87.79409123,"(41.959950185559215, -87.79409123164642)",52,17,22254,442,19,25
12886,Archer/Western,McGuane Park,2901 S Poplar Av,Chicago Park District,,"The Chicago Park District will renovate the existing fieldhouse interior space, elevator and accessibility improvements, and 
new covered entry pavilion.",10/31/18,5770000,5770000,1170584.004,1885519.511,41.84134899,-87.64950769,"(41.84134898989852, -87.6495076895825)",43,58,14920,59,48,26
1030,79th Street/Southwest Highway,Wrightwood Senior,2815 W 79th St,79th Street Limited Partnershi,888,"The Wrightwood Senior Apartment Project is located in the 79th Street/Southwest Highway TIF District. This project consists of the construction of 85 unit 6-story building for senior housing with parking spaces and community facilities. 

Project is to be located at 2815 West 79th Street, Chicago Illinois, and contains 85 multi family residential dwelling units.  The Low Income Project will be the 76 units financed with HOME funds and required to be occupied by Low Income families. 

76 units HOME
9 units MAUI
85 units total

PIS Date: 11/3/2010",4/14/09,2950000,21093696,1158906.934,1852040.954,41.74972646,-87.69327334,"(41.74972645662112, -87.69327333723064)",8,69,4300,243,30,6
1396,Central West,Horner - IIA2 - Midrise,100 N Hermitage Av,"WHP Tower, LLC and WHP Tower Rental, LLC",258,"Located in the Near West Side community, the project includes the construction of a 113 unit residential mid-rise building.  The residential building includes 79 for-sale units, including 7 affordable units for sale, and 34 affordable one bedroom public housing rental units. Other 79 units are a mix of one and two bedrooms.",3/9/04,2611649,30870827,1164683.864,1900755.845,41.88328574,-87.67072762,"(41.88328573604337, -87.6707276205489)",28,29,21184,579,46,41
11077,Midwest,IGA - CBE - Penn School,1616 S Avers Av,Chicago Public Schools,,"This project includes the costs associated with the planning, design, and constructions of a new science lab and dehumidification project to the existing William Penn Elementary School. The scope to provide dehumidification includes new concrete pads for the new chiller and new pumps, masonry enclosure for chiller, new air cooled chiller, and all required electrical connections for new chiller and auxiliaries. The scope to convert an existing classroom to an elementary level 3 science lab includes upgrading all room finishes, new accessible door and hardware, new countertop and base cabinets, new sinks, demonstration table, emergency eye wash, new window shades, all required plumbing, and ADA
compliance.",4/2/14,1150000,1330000,1150967.365,1891574.242,41.85836995,-87.72133609,"(41.85836994740216, -87.72133608972533)",57,30,21569,752,14,36
1283,Irving/Cicero,Klee Bldg,4001 N Milwaukee Av,"Chicago Klee Development, LLC",76,"Redevelop Klee Building and construct 2 new buildings; 64 condos, 13 affordable units (100% AMI), 20k sf retail / commercial, underground parking and 23 outdoor spaces",3/9/04,1642000,19197699,1143653.662,1926212.701,41.9535616,-87.74731372,"(41.95356159846486, -87.747313717386)",21,15,22618,259,50,20
10772,47th/King Drive,IGA - CPD - Buckthorn Park,4330 S Calumet Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and Chicago Park District.,3/18/15,200000,1680000,1179118.933,1876232.774,41.81567473,-87.6184713,"(41.81567473199519, -87.61847129686947)",36,4,4301,162,9,12
1686,73rd/University,Comer Foundation,7320 S South Chicago Av,Comer Science Education Foundation,1105,"Comer Youth Garden project, located within the Greater Grand Crossing community area, includes a negotiated sale of 1.75 acres of City-owned property to Comer Science and Education Foundation.  The final build out of the you garden included expanding the growing areas, number of hoop houses, constructing a farmer's market area, bike parking, garden storage area, and a wind turbine to assist with garden irrigation.",4/12/11,652796,2160775,1184304.195,1856631.78,41.76176801,-87.60006425,"(41.76176800706325, -87.60006425294877)",61,67,21546,121,33,32
1593,Randolph/Wells,Randolph Tower - II,188 W Randolph St,"Randolph Tower City Apartments, Inc.",857,"The Randolph Tower II project is located in the Randolph/Wells TIF district and consists of the conversion and rehabilitation of a 45 story Class C office building containing approximately 371,000 gross square feet. The project will produce 310 apartments, 9500 square feet of retail, 11,000 square feet of office/commercial space and community facility space. In addition, no less than 62 apartment units are dedicated for affordable housing. Mix of studios, one, and two bedroom units.",3/9/10,34000000,145059588,1174747.572,1901307.252,41.88457966,-87.63375683,"(41.88457966297369, -87.63375683353853)",42,38,14309,92,36,22
12882,Near North,Seward Park,375 W Elm St,Chicago Park District,,"The project renovates an existing field house and new playground.   The improvements include roof replacement, window restoration and accessibility improvements.",4/18/18,4000000,4000000,1173276.26,1907911.643,41.90273528,-87.63896337,"(41.90273527591827, -87.6389633736776)",54,37,14926,148,46,41
1551,Drexel Boulevard,Jazz on the Blvd,4657 S Drexel Bv,"Jazz on the Boulevard, LLC and Drexel Jazz L.P.",738,"The project includes construction of 98 for-sale units and 39 rental units.  The buildings include 27 affordable for-sale units, 9 affordable rental units, and 30 public housing rental units.",7/9/02,2931119,38377865,1183149.455,1874094.41,41.80971394,-87.60375337,"(41.809713938579684, -87.60375336825767)",36,5,4301,398,10,1
500467,47th/Halsted,Lowe Park,5203 S Lowe Av,Chicago Park District,,An Intergovernmental Agreement Between the City of Chicago and the Chicago Park District,10/3/12,550000,550000,1172887.572,1870354.415,41.79968391,-87.64150252,"(41.79968390464737, -87.64150251982599)",37,59,14924,84,9,12
10856,Near South <Central Station,Blackstone Hotel,636 S Michigan Av,Sage Hospitality Resources,,"The project is a rehabilitation of 636 South Michigan Avenue as the Blackstone Hotel, designated as a Chicago Landmark. The project is a rehabilitation of approximately 291,000 square feet of hotel space as a Marriott Renaissance Hotel with 334 rooms, and the restoration of historic exterior facades and interior spaces, including the main lobby, the Crystal Ballroom, the Art Hall and English Room, Governor's Suite and Presidential Suite.",6/14/05,18000000,112125765,1177339.393,1897348.866,41.87365926,-87.6243595,"(41.873659257025864, -87.62435949812338)",35,38,14913,368,36,48
1444,Near South <Central Station,Spertus Institute,610 S Michigan Av,"Spertus College of Judaica, an IL not for profit corp",364,"Located in the Loop, the project constructed a new 10-story building.  The 138,000 square foot building will include a college, museum, and library.  The building will also have a green roof and a 400 seat auditorium.",10/11/05,3000000,57700000,1177334.01,1897536.351,41.87417385,-87.62437357,"(41.8741738481537, -87.62437357417441)",35,38,14913,368,36,48
13247,West Irving Park,Vaughn CPS IGA,4355 N Linder Av,Chicago Public Schools,,"This is an TIF IGA between DPD and CPS to fund rehabilitation improvements to Vaughn Occupational High School in the Portage Park neighborhood.  

The improvements, completed in 2016/17 consisted of new cameras and lighting. 

The Total project cost is $542,025 of which $55,000 or 10% is covered by TIF. The TIF allocation freed-up money so that CPS could fund improvements at the nearby Portage Park Elementary School.",10/31/18,55000,542025,1138928.091,1928655.205,41.96035141,-87.76462602,"(41.9603514138322, -87.76462602447018)",21,15,22618,260,19,25
1422,Near South <Central Station,Vietnam Vet Art Gallery,1801 S Indiana Av,Vietnam Veterans Arts Group,290,"Located in the Near South Side community area, the project rehabilitating an existing building an art gallery.",1/9/96,1000000,2056143,1177979.638,1891588.615,41.85783824,-87.62218405,"(41.85783824203235, -87.62218405329706)",40,34,21194,374,9,48
10637,24th/Michigan,IGA - PBC - Library - Chinatown,2101 S Archer Av,Public Building Commission,,Acquisition and construction of the new library at 2101-15 S. Archer,4/25/13,15600000,15946153,1175347.058,1890222.746,41.85414963,-87.63188807,"(41.85414962645593, -87.63188807020713)",40,35,21194,3,26,8
12962,71st/Stony Island,Jeffery Plaza,2101 E 71st St,Shop & Save Market,,"The Developer is proposing to purchase and refurbish the Jeffery Plaza shopping center located at 2101 E. 71st St., with the focus on the renovation and occupancy of the grocery store space left vacant since the departure of Dominicks at the end of 2013.  The anchor tenant will be Shop and Save Market.",6/12/18,10000000,24965615,1191459.659,1858232.45,41.76599,-87.57378734,"(41.765990001140594, -87.57378733665412)",24,39,22538,453,33,32
1524,Central Loop,Oriental Theater,32 W Randolph St,Livent Realty (Chicago) Inc.,666,"Located in the Loop, the project includes the redevelopment of the existing Oriental Theater.  The renovations include the 2,180 seat theater with rehearsal hall and related theater facilities, 7,000 square retail of retail space, and historic rehabilitation of Oliver Building facade.",1/29/96,18399077,33399077,1176018.468,1901322.458,41.88459286,-87.62908952,"(41.88459286291501, -87.62908952144605)",42,38,14309,92,36,22
500259,Portage Park,IGA - CPD - Park 0084 - Kilbourn,3501 N Kilbourn Av,Chicago Park District,,"The construction of a new playground at Kilbourn Park including
demolition and removal of old playground equipment and landscaping, purchase and installation
of new playground equipment, landscaping as needed per overall project (restorative and/or
improved), and utility, grading/paving, and drainage as needed per overall project.",2/4/14,350000,350000,1145798.93,1922927.008,41.94450485,-87.73951111,"(41.94450485327174, -87.73951110906468)",21,16,22618,328,21,27
11863,Western/Ogden,IGA - BOE - Orozco 2016,1940 W 18th St,Chicago Public Schools,,"Located in the Lower West Side community area. The Chicago Board of Education will make capital improvements to Orozco School for its Space to Grow program.  Improvements include utility upgrades, natural plantings, fencing and lighting.",6/22/16,500000,1749250,1163539.274,1891453.147,41.85778248,-87.67519253,"(41.85778247870229, -87.67519253027801)",43,33,14920,366,26,8
1310,Northwest Industrial Corridor,Home Depot - NW Industrial Corridor,1919 N Cicero Av,"Home Depot U.S.A., Inc.",113,"The project includes the demolishing of existing industrial buildings on an 11 acre site, and construction of 118,000 square foot home improvement store, a 16,000 square foot outdoor garden center, 503 space parking lot, and installation of a new traffic signal at Cicero & Cortland.",2/5/02,2675915,18978127,1144130.609,1912422.184,41.91571015,-87.74590776,"(41.91571014555266, -87.74590775451382)",2,19,22615,289,44,7
11922,North Pullman,North Pullman - Method TIF,720 E 111th St,3418 N. Knox LLC/Alpina Manufacturing,,"The North Pullman Method project is located in the North Pullman TIF District and partially in the Lake Calumet Redevelopment Area. This TIF-assisted economic development project provides support for the development of a 150,000 square foot industrial facility space, for manufacturing and distribution of nontoxic cleaning products, with 57 accessory parking spaces.",8/6/13,8100000,11640068,1183330.263,1831542.865,41.69294383,-87.60441244,"(41.69294383281871, -87.60441244342984)",19,47,21861,254,43,30
11591,Ewing Avenue,IGA-CBE-Addams ES,10810 S Avenue H,Chicago Public Schools,,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with capital improvements at the existing Jane Addams Elementary School (Addams). The project encompasses new energy efficient windows, window guards and lintel replacement and masonry/structural upgrades including installation of structural pinning and the replacement of failing masonry around windows to prevent further water infiltration.",9/24/15,1700000,1700000,1202811.36,1833818.906,41.69871497,-87.53301251,"(41.69871496816594, -87.53301250518821)",25,49,21202,552,47,47
13089,Lawrence/Broadway,Leland Hotel,1201 W Leland Av,Leland L.P.,,"Located in the Uptown community, the project consists of rehabilitating a 75,000 square foot six-story building.  The building will include 137 apartments and rental commercial space on first floor.",2/25/02,2000000,14774804,1167441.321,1931316.652,41.96708739,-87.65972052,"(41.96708738517241, -87.65972052321467)",15,31,22616,611,39,37
1718,47th/State,IGA - CBE - ADA - Burke,5356 S Dr Martin Luther King Jr Dr,Chicago Public Schools,1153,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,4/13/11,1000000,2554005,1179801.469,1869357.523,41.79679285,-87.61617809,"(41.79679284535837, -87.61617809193172)",10,7,21192,401,9,12
1448,Central Loop,Oxford House - Hotel Monaco,225 N Wabash Av,Chicago Oxford Associates LP,374,"Located in the Loop, the project includes the redevelopment and renovation of the former Oxford House Hotel as Hotel Monaco.  The hotel will include 191 rooms, a restaurant, and 5,000 square feet of meeting space.  The project also includes public infrastructure improvements.",6/30/98,1608871,27408871,1176808.438,1901996.386,41.88642433,-87.62616828,"(41.88642433256405, -87.62616828170881)",42,38,14309,580,36,22
10435,Western Avenue South,IGA-CBE-Coonley,4046 N Leavitt St,Chicago Public Schools,,"An Intergovernmental Agreement between the City of Chicago and the Board of Education for the improvement of John C. Coonley School. The facility will receive new lighting throughout, including exterior lighting replacement. For the interior of the school, there will be new finishes in classrooms, hallways and stairwells. The project includes replacement and upgrade of mechanical systems, and a new warming kitchen with lunchroom renovations. On the exterior of the building, masonry cleaning will be performed. Additionally, a new playground and new parking lot will be provided, with new landscaping and athletic field improvements. The estimated cost for these improvements is $4 million dollars, with the work proceeding over the next year to year and a half.",3/5/14,2201500,3749690,1160924.137,1927061.47,41.95554905,-87.68380195,"(41.95554905400421, -87.68380194599335)",39,46,21538,623,18,13
1415,Lincoln Avenue,Chaville Condo,5978 N Lincoln Av,"JJJ Properties, Inc.",282,"Located in West Ridge, the project includes demolishing existing buildings and construction of 40,000 square feet six-story residential building.  The project includes 21 condominiums, 5 of which are affordable units, 26 parking spaces, and a green roof that will cover 50% of the roof area.",6/8/04,625454,8621372,1154609.097,1939510.148,41.98983793,-87.70668267,"(41.98983792892443, -87.70668267161068)",50,20,4450,65,24,46
